antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Food_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Food_Freq'})",frozenset({'Entertainment_Freq'}),0.837,1.0,0.837,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'KidsPets_Freq'})",frozenset({'Entertainment_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
frozenset({'Food_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.839,1.0,0.839,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Food_Freq'})",frozenset({'Entertainment_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
frozenset({'Food_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Miscellaneous_Freq'})",frozenset({'Entertainment_Freq'}),0.812,1.0,0.812,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Food_Freq'})",frozenset({'Entertainment_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Entertainment_Freq'})",frozenset({'Shopping_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
frozenset({'Food_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Travel_Freq'})",frozenset({'Entertainment_Freq'}),0.824,1.0,0.824,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'HealthFitness_Freq'})",frozenset({'Entertainment_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})",frozenset({'HealthFitness_Freq'}),0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
frozenset({'Home_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'HealthFitness_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",frozenset({'HealthFitness_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'KidsPets_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'HealthFitness_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Entertainment_Freq'}),"frozenset({'KidsPets_Freq', 'HealthFitness_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'HealthFitness_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})",frozenset({'HealthFitness_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
frozenset({'PersonalCare_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'HealthFitness_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",frozenset({'HealthFitness_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Grocery_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'HealthFitness_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Entertainment_Freq'}),"frozenset({'Grocery_Freq', 'HealthFitness_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq'})",frozenset({'Entertainment_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq'})",frozenset({'HealthFitness_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
frozenset({'Miscellaneous_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'HealthFitness_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",frozenset({'HealthFitness_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",frozenset({'Shopping_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Shopping_Freq'}),"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'HealthFitness_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
